N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
3,1000,1.5,0.3,3,3,6,45103128,tsboss_iid,32.921875,0.00935970800492214
3,1000,1.5,0.3,3,3,7,45103129,tsboss,92.25,0.25799916699907044
3,1000,1.5,0.3,3,3,7,45103129,pcmci,98.125,0.3077029999985825
3,1000,1.5,0.3,3,3,7,45103129,dynotears,150.03125,0.5163511249993462
3,1000,1.5,0.3,3,3,7,45103129,tsfges,163.90625,0.3086405830035801
3,1000,1.5,0.3,3,3,7,45103129,tsboss_iid,33.03125,0.009813874996325467
3,1000,1.5,0.3,3,3,8,45103130,tsboss,92.21875,0.25615504199959105
3,1000,1.5,0.3,3,3,8,45103130,pcmci,98.046875,0.2888237920051324
3,1000,1.5,0.3,3,3,8,45103130,dynotears,150.15625,0.5103970830023172
3,1000,1.5,0.3,3,3,8,45103130,tsfges,162.875,0.3085649580025347
3,1000,1.5,0.3,3,3,8,45103130,tsboss_iid,32.890625,0.008798125003522728
3,1000,1.5,0.3,3,3,9,45103131,tsboss,92.28125,0.2515316669960157
3,1000,1.5,0.3,3,3,9,45103131,pcmci,97.921875,0.29438512500200886
3,1000,1.5,0.3,3,3,9,45103131,dynotears,150.25,0.4936131669965107
3,1000,1.5,0.3,3,3,9,45103131,tsfges,165.15625,0.30822404200444
3,1000,1.5,0.3,3,3,9,45103131,tsboss_iid,33.015625,0.009624792000977322
3,1000,1.5,0.3,3,3,10,45103132,tsboss,92.203125,0.2548889590034378
3,1000,1.5,0.3,3,3,10,45103132,pcmci,97.890625,0.29731858400191413
3,1000,1.5,0.3,3,3,10,45103132,dynotears,150.15625,0.5069081659967196
3,1000,1.5,0.3,3,3,10,45103132,tsfges,165.03125,0.31963883400021587
3,1000,1.5,0.3,3,3,10,45103132,tsboss_iid,33.0,0.010622458001307677
4,1000,1.5,0.3,3,3,1,45104123,tsboss,92.171875,0.2536984999969718
4,1000,1.5,0.3,3,3,1,45104123,pcmci,98.390625,0.30905333300324855
4,1000,1.5,0.3,3,3,1,45104123,dynotears,150.15625,0.4994976250018226
4,1000,1.5,0.3,3,3,1,45104123,tsfges,164.515625,0.31744220800464973
4,1000,1.5,0.3,3,3,1,45104123,tsboss_iid,33.046875,0.010293499995896127
4,1000,1.5,0.3,3,3,2,45104124,tsboss,92.265625,0.2571816249983385
4,1000,1.5,0.3,3,3,2,45104124,pcmci,98.34375,0.30366125000000466
